movie_title,title_year,facenumber_in_poster,director_ig_followers,actor_1_ig_follow,actor_2_ig_follow,duration,plot_keywords,buget,gross,num_critic_for_review,num_user_for_review,movie_ig,cast_total_facebook_like,imdb_socre,num_awards_won,num_voted_user,hi,bye,gn,box_office
Fight Club,1999,2,10600,2800000,474000,139,0,63000000,37030000,352,4500,0,0,8.8,51,0,0,0,0,101200000
The Green Mile,1999,1,119,9500000,31400,189,0,60000000,136800000,217,2100,0,0,8.6,178,0,0,0,0,286800000
Django Unchained,2012,3,554000,17300000,13969980.28,165,0,100000000,162810000,672,1800,0,0,8.4,45,0,0,0,0,425400000
Gone Girl,2014,1,10600,96400,1100000,149,0,61000000,167770000,643,1800,0,0,8.1,61,0,0,0,0,369300000
12 Angry Men,1957,1,189,8327751.648,13969980.28,96,0,2000000,4360000,168,2100,0,0,8.9,20,0,0,0,0,389706608.4
Gladiator,2000,1,355591.1935,1200000,93800,155,0,103000000,187710000,180,3000,0,0,8.5,12,0,0,0,0,460500000
The Lord of the Rings: The Return of the King,2003,6,1449,536000,21000,201,0,94000000,377850000,300,4200,0,0,8.9,22,0,0,0,0,1142000000
Forrest Gump,1994,1,876,9500000,692000,142,0,55000000,330250000,110,3100,0,0,8.8,47,0,0,0,0,678200000
The Dark Knight Rises,2012,1,227000,442000,9900000,164,0,250000000,448140000,547,3800,0,0,8.4,41,0,0,0,0,1081000000
Jurassic Park,1993,0,1611,25000,13969980.28,127,0,63000000,402450000,263,1400,0,0,8.1,93,0,0,0,0,1034000000
Reservoir Dogs,1992,5,554000,214,44700,99,0,1000000,2830000,156,1300,0,0,8.3,29,0,0,0,0,3200000
Apocalypse Now,1979,1,384000,199000,2747,147,0,31000000,623525,94,16526,0,0,8.4,45,0,0,0,0,389706608.4
Guardians of the Galaxy,2014,5,2700000,2700000,1120000,121,0,170000000,566490,1574,5723,0,0,8.1,51,0,0,0,0,773300000
The Lion King,1994,2,17000,31900000,4800000,88,0,45000000,31708,88,12364,0,0,8.5,5,0,0,0,0,968500000
American Beauty,1999,1,355591.1935,305000,602000,122,0,5000000,975750000,34,29052,0,0,8.3,21,0,0,0,0,356300000
Kill Bill: Vol. 1,2003,1,355591.1935,1400000,1400000,111,0,300000,525750000,43,1050705,0,0,8.1,54,0,0,0,0,180900000
Goodfellas,1990,3,1900000,183000,69500,146,0,25000000,35130000,21,29269,0,0,8.7,20,0,0,0,0,46800000
Harry Potter and the Deathly Hallows: Part 2,2011,3,355591.1935,7450000,500000,130,0,250000000,28575750,41,19742,0,0,8.1,18,0,0,0,0,1342000000
L?n,1994,1,355591.1935,9000000,170000,110,0,16000000,14625000,64,14718,0,0,8.5,17,0,0,0,0,45300000
Blade Runner,1982,4,104000,75800,23100,117,0,28000000,24652500,84,25177,0,0,8.1,16,0,0,0,0,33800000
The Silence of the Lambs,1991,1,355591.1935,5100000,24100,118,0,19000000,98055000,86,29660,0,0,8.6,124,0,0,0,0,272700000
Back to the Future,1985,1,355591.1935,230000,457000,116,0,19000000,1579575000,87,39823,0,0,8.5,109,0,0,0,0,389100000
Requiem for a Dream,2000,1,317000,1400000,1170000,102,0,4500000,2730000,71,28646,0,0,8.3,83,0,0,0,0,7400000
Shutter Island,2010,1,1900000,6210000,2050000,138,0,80000000,960075000,63,26220,0,0,8.1,42,0,0,0,0,294800000
Alien,1979,1,104000,4368,13969980.28,117,0,11000000,59175000,89,22292,0,0,8.4,4,0,0,0,0,203600000
The Lord of the Rings: The Two Towers,2002,9,135000,329000,834000,179,0,94000000,256912500,87,72895,0,0,8.7,75,0,0,0,0,947600000
The Departed,2006,3,1900000,1200000,6210000,151,0,90000000,5918053145,89,58112,0,0,8.5,23,0,0,0,0,291500000
Schindler's List,1993,3,355591.1935,30300,41400,195,0,22000000,60432771,95,22897,0,0,8.9,12,0,0,0,0,321300000
Hacksaw Ridge,2016,2,355591.1935,314000,1200000,139,0,40000000,6168501,71,3480,0,0,8.1,7,0,0,0,0,182200000
Stand by Me,1986,4,355591.1935,1200000,192000,89,0,8000000,6293725129,75,13393,0,0,8.1,14,0,0,0,0,52300000
Saving Private Ryan,1998,5,355591.1935,9500000,10200000,169,0,70000000,6418949124,91,41391,0,0,8.6,75,0,0,0,0,482300000
